Latitude,Longitude,Sealevel,Earthquake
24.11666667,124.0166667,-4,0
24.11666667,124.05,-6,0
24.15,123.5166667,-17,0
24.15,123.55,-16,0
24.15,123.5833333,-15,0
24.15,123.6166667,-14,0
24.15,123.65,-12,0
24.15,123.6833333,-9,0
24.15,123.7166667,-6,0
24.15,123.75,-2,0
24.15,123.7833333,1,0
24.15,123.8166667,3,0
24.15,123.85,3,0
24.15,123.8833333,3,0
24.15,123.9166667,2,0
24.15,123.95,1,0
24.15,123.9833333,0,0
24.15,124.0166667,-2,0
24.15,124.05,-4,0
24.15,124.0833333,-6,0
24.15,124.1166667,-7,0
24.15,124.15,-8,0
24.18333333,123.5166667,-21,0
24.18333333,123.55,-19,0
24.18333333,123.5833333,-17,0
24.18333333,123.6166667,-15,0
24.18333333,123.65,-13,0
24.18333333,123.6833333,-10,0
24.18333333,123.7166667,-7,0
24.18333333,123.75,-4,0
24.18333333,123.7833333,-1,0
24.18333333,123.8166667,2,0
24.18333333,123.85,3,0
24.18333333,123.8833333,3,0
24.18333333,123.9166667,3,0
24.18333333,123.95,3,0
24.18333333,123.9833333,2,0
24.18333333,124.0166667,1,0
24.18333333,124.05,-1,0
24.18333333,124.0833333,-3,0
24.18333333,124.1166667,-4,0
24.18333333,124.15,-5,0
24.21666667,123.4833333,-25,0
24.21666667,123.5166667,-24,0
24.21666667,123.55,-22,0
24.21666667,123.5833333,-20,0
24.21666667,123.6166667,-17,0
24.21666667,123.65,-15,0
24.21666667,123.6833333,-12,0
24.21666667,123.7166667,-9,0
24.21666667,123.75,-7,0
24.21666667,123.7833333,-4,0
24.21666667,123.8166667,-2,0
24.21666667,123.85,0,0
24.21666667,123.8833333,1,0
24.21666667,123.9166667,3,0
24.21666667,123.95,4,0
24.21666667,123.9833333,4,0
24.21666667,124.0166667,4,0
24.21666667,124.05,3,0
24.21666667,124.0833333,1,0
24.21666667,124.1166667,0,0
24.21666667,124.15,-2,0
24.25,123.4833333,-28,0
24.25,123.5166667,-27,0
24.25,123.55,-25,0
24.25,123.5833333,-23,0
24.25,123.6166667,-20,0
24.25,123.65,-18,0
24.25,123.6833333,-15,0
24.25,123.7166667,-13,0
24.25,123.75,-11,0
24.25,123.7833333,-9,0
24.25,123.8166667,-6,0
24.25,123.85,-4,0
24.25,123.8833333,-1,0
24.25,123.9166667,2,0
24.25,123.95,4,0
24.25,123.9833333,6,0
24.25,124.0166667,7,0
24.25,124.05,7,0
24.25,124.0833333,6,0
24.25,124.1166667,4,0
24.28333333,123.4833333,-29,0
24.28333333,123.5166667,-29,0
24.28333333,123.55,-28,0
24.28333333,123.5833333,-26,0
24.28333333,123.6166667,-24,0
24.28333333,123.65,-21,0
24.28333333,123.6833333,-19,0
24.28333333,123.7166667,-17,0
24.28333333,123.75,-15,0
24.28333333,123.7833333,-13,0
24.28333333,123.8166667,-11,0
24.28333333,123.85,-9,0
24.28333333,123.8833333,-5,0
24.28333333,123.9166667,-1,0
24.28333333,123.95,4,0
24.28333333,123.9833333,7,0
24.28333333,124.0166667,9,0
24.28333333,124.05,10,0
24.28333333,124.0833333,10,0
24.28333333,124.1166667,8,0
24.31666667,123.55,-30,0
24.31666667,123.5833333,-29,0
24.31666667,123.6166667,-27,0
24.31666667,123.65,-24,0
24.31666667,123.6833333,-22,0
24.31666667,123.7166667,-20,0
24.31666667,123.75,-18,0
24.31666667,123.7833333,-17,0
24.31666667,123.8166667,-15,0
24.31666667,123.85,-13,0
24.31666667,123.8833333,-9,0
24.31666667,123.9166667,-4,0
24.31666667,123.95,1,0
24.31666667,123.9833333,6,0
24.31666667,124.0166667,9,0
24.31666667,124.05,12,0
24.31666667,124.0833333,13,0
24.31666667,124.1166667,12,0
24.35,123.55,-30,0
24.35,123.5833333,-30,0
24.35,123.6166667,-28,0
24.35,123.65,-26,0
24.35,123.6833333,-23,0
24.35,123.7166667,-21,0
24.35,123.75,-20,0
24.35,123.7833333,-18,0
24.35,123.8166667,-18,0
24.35,123.85,-16,0
24.35,123.8833333,-13,0
24.35,123.9166667,-8,0
24.35,123.95,-2,0
24.35,123.9833333,4,0
24.35,124.0166667,9,0
24.35,124.05,13,0
24.35,124.0833333,15,0
24.35,124.1166667,15,0
24.38333333,123.55,-29,0
24.38333333,123.5833333,-30,0
24.38333333,123.6166667,-28,0
24.38333333,123.65,-26,0
24.38333333,123.6833333,-23,0
24.38333333,123.7166667,-21,0
24.38333333,123.75,-19,0
24.38333333,123.7833333,-18,0
24.38333333,123.8166667,-18,0
24.38333333,123.85,-17,0
24.38333333,123.8833333,-15,0
24.38333333,123.9166667,-10,0
24.38333333,123.95,-5,0
24.38333333,123.9833333,1,0
24.38333333,124.0166667,7,0
24.38333333,124.05,11,0
24.38333333,124.0833333,14,0
24.38333333,124.1166667,16,0
24.41666667,123.65,-24,0
24.41666667,123.6833333,-22,0
24.41666667,123.7166667,-20,0
24.41666667,123.75,-18,0
24.41666667,123.7833333,-17,0
24.41666667,123.8166667,-16,0
24.41666667,123.85,-16,0
24.41666667,123.8833333,-14,0
24.41666667,123.9166667,-12,0
24.41666667,123.95,-7,0
24.41666667,123.9833333,-2,0
24.41666667,124.0166667,2,0
24.41666667,124.05,6,0
24.41666667,124.0833333,10,0
24.41666667,124.1166667,13,0
24.45,123.6833333,-18,0
24.45,123.7166667,-17,0
24.45,123.75,-16,0
24.45,123.7833333,-15,0
24.45,123.8166667,-14,0
24.45,123.85,-14,0
24.45,123.8833333,-13,0
24.45,123.9166667,-12,0
24.45,123.95,-10,0
24.45,123.9833333,-6,0
24.45,124.0166667,-3,0
24.45,124.05,0,0
24.45,124.0833333,4,0
24.45,124.1166667,7,0
24.48333333,123.7833333,-11,0
24.48333333,123.8166667,-11,0
24.48333333,123.85,-11,0
24.48333333,123.8833333,-12,0
24.48333333,123.9166667,-12,0
24.48333333,123.95,-11,0
24.48333333,123.9833333,-10,0
24.48333333,124.0166667,-7,0
24.48333333,124.05,-5,0
24.48333333,124.0833333,-1,0
24.48333333,124.1166667,2,0
24.48333333,124.15,5,0
24.51666667,123.7833333,-7,0
24.51666667,123.8166667,-7,0
24.51666667,123.85,-8,0
24.51666667,123.8833333,-9,0
24.51666667,123.9166667,-10,0
24.51666667,123.95,-11,0
24.51666667,123.9833333,-10,0
24.51666667,124.0166667,-9,0
24.51666667,124.05,-6,0
24.55,123.95,-6,0
24.55,123.9833333,-7,0
24.55,124.0166667,-6,0
24.55,124.05,-4,0
24.75,123.8166667,18,0
24.75,123.85,22,0
24.75,124.25,7,0
24.75,124.2833333,6,0
24.75,124.3166667,8,0
24.75,124.55,9,0
24.75,124.5833333,10,0
24.75,124.6166667,12,0
24.78333333,123.7833333,14,0
24.78333333,123.8166667,16,0
24.78333333,123.85,18,0
24.78333333,123.8833333,21,0
24.78333333,123.9166667,26,0
24.78333333,123.95,34,0
24.78333333,123.9833333,41,0
24.78333333,124.0166667,44,0
24.78333333,124.05,42,0
24.78333333,124.0833333,35,0
24.78333333,124.1166667,28,0
24.78333333,124.15,20,0
24.78333333,124.1833333,14,0
24.78333333,124.2166667,10,0
24.78333333,124.25,8,0
24.78333333,124.2833333,7,0
24.78333333,124.3166667,8,0
24.78333333,124.35,11,0
24.78333333,124.3833333,13,0
24.78333333,124.4166667,13,0
24.78333333,124.45,13,0
24.78333333,124.4833333,13,0
24.78333333,124.5166667,12,0
24.78333333,124.55,12,0
24.78333333,124.5833333,14,0
24.78333333,124.6166667,17,0
24.81666667,123.7833333,13,0
24.81666667,123.8166667,14,0
24.81666667,123.85,15,0
24.81666667,123.8833333,18,0
24.81666667,123.9166667,23,0
24.81666667,123.95,29,0
24.81666667,123.9833333,35,0
24.81666667,124.0166667,38,0
24.81666667,124.05,36,0
24.81666667,124.0833333,30,0
24.81666667,124.1166667,25,0
24.81666667,124.15,19,0
24.81666667,124.1833333,15,0
24.81666667,124.2166667,11,0
24.81666667,124.25,8,0
24.81666667,124.2833333,6,0
24.81666667,124.3166667,7,0
24.81666667,124.35,10,0
24.81666667,124.3833333,13,0
24.81666667,124.4166667,13,0
24.81666667,124.45,14,0
24.81666667,124.4833333,14,0
24.81666667,124.5166667,14,0
24.81666667,124.55,15,0
24.81666667,124.5833333,16,0
24.81666667,124.6166667,17,0
24.85,123.7833333,12,0
